"sku","_links_crosssell_sku"
"VB:0000","F:0521"
"","BG:0176"
"VB:0001","F:0521"
"","F:0522"
"","F:0523"
"","BG:0177"
"","BG:0178"
"","BG:0179"
"VB:0002","F:0521"
"","BG:0180"
"VB:0003","BG:0184"
"","BG:0185"
"","BG:0186"
"","BG:0189"
"","F:0527"
"","F:0528"
"","F:0529"
"VB:0004","F:0524"
"","BG:0183"
"","BG:0188"
"","F:0527"
"","F:0528"
"","F:0529"
"","F:0532"
"VB:0005","F:0524"
"","BG:0182"
"","BG:0190"
"","F:0527"
"","F:0528"
"","F:0529"
"","F:0530"
"","F:0531"
"VB:0006","F:0524"
"","BG:0181"
"","BG:0187"
"","F:0527"
"","F:0528"
"","F:0529"
"","F:0532"
"VB:0007","BG:0194"
"VB:0008","BG:0195"
"","BG:0196"
"","BG:0197"
"VB:0010","BG:0198"
"","BG:0199"
"","BG:0200"
"TP:0004","BR:0001"
"TP:0005","BR:0002"
"EP:0063","BR:0000"
"EP:0065","BR:0013"
"EP:0066","VU:0041"
"","VC:0020"
"","VC:0021"
"","BR:0020"
"","BR:0023"
"","BS:0004"
"EP:0001","W:0015"
"EP:0067","VU:0041"
"","BR:0023"
"","BS:0004"
"TP:0006","BR:0001"
"EP:0004","BR:0000"
"","BT:0014"
"","RP:0035"
"EP:0005","BR:0013"
"EP:0007","BR:0017"
"BR:0000","EP:0063"
"","EP:0004"
"BR:0001","TP:0004"
"","TP:0006"
"","EP:0071"
"","TP:0015"
"","TP:0017"
"","TP:0018"
"","TP:0019"
"BR:0002","TP:0005"
"","TP:0016"
"EP:0008","BR:0018"
"PU:D:0003","BG:0003"
"","F:0002"
"PU:D:0004","BG:0003"
"","F:0002"
"PU:D:0005","BG:0003"
"","F:0002"
"PU:D:0006","BG:0003"
"","F:0002"
"PU:D:0007","F:0002"
"PU:D:0008","F:0002"
"PU:D:0009","F:0002"
"PU:D:0010","F:0002"
"PU:D:0011","BT:0024"
"","F:0003"
"PU:D:0012","F:0004"
"","F:0052"
"","BG:0063"
"PU:D:0013","F:0006"
"","BG:0063"
"PU:D:0021","F:0013"
"PU:D:0022","F:0013"
"PU:D:0023","BG:0016"
"","BG:0018"
"PU:D:0024","BG:0016"
"","BG:0018"
"PU:D:0025","BG:0012"
"","F:0013"
"","F:0015"
"PU:D:0026","MT:0017"
"","BG:0024"
"","F:0021"
"PU:D:0027","MT:0017"
"","MT:0049"
"","BG:0024"
"","F:0021"
"PU:D:0028","MT:0018"
"","BG:0024"
"","F:0021"
"PU:D:0029","F:0021"
"PU:D:0030","MT:0047"
"","BG:0025"
"","BG:0026"
