sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,adj_interval_length,adj_max_length,adj_min_length,air_watts,amps,anti_tip_device,attachment_type,bag_electrostatic,bag_fill_style,bag_filter_inc,bag_filter_qty,bag_filtration,bag_layers,bag_type,brand,brush_adjustable,brush_diameter,brush_material,brush_qty,brush_removable,brush_shapes,brush_side_qty,brush_side_size,brush_size,brush_total_qty,bumper_depth,bumper_fit,bumper_size,bumper_width,capacitors,capacity_gal,cfm,charge_time,clean_path_width,color,combo_floor_switch,connection_type,cordless_battery,cordless_runtime,cord_auto_rewind,cord_hook_adjust,cord_management,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,decibels,description,diameter,dirt_capacity,discontinued,drive_train,edge_clean,electric,exhaust_cyclonic,exhaust_opening,filter_efficiency,filter_microns,filter_type,filter_washable,filtration_method,fit,flexible,gallery,gearbox,gift_message_available,gtin12_upc,handheld,handle_adjust,handle_carry,handle_ergonomic,handle_folds,handle_swivel,hanger_max_length,hanger_washable,has_options,headlight,height_settings,height_settings_auto,hose_air_relief_valve,hose_crushproof,hose_length_feet,hose_power_switch,hose_type,image,image_label,inc_p_bags,inc_p_carpet_tool,inc_p_crevice_tool,inc_p_dusting_brush,inc_p_extractor_wand,inc_p_floor_tool,inc_p_hose,inc_p_hygiene_cap,inc_p_micro_filter,inc_p_micro_strip,inc_p_misc,inc_p_motor_filter,inc_p_upholstery_tool,inc_p_wand,indicator_bag_full,indicator_brush_obstruction,indicator_dirt_sensor,indicator_filter_replace,indicator_motor_status,indicator_on_off_light,indicator_roller_replace,inlet_auto_on,inlet_connection,inlet_door_style,inlet_lights,inlet_use_trim,maintenance,main_motor_rpm,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,motor_air_discharge,motor_bearing,motor_brush,motor_cobr_material,motor_duty_cycle,motor_electric_conn,motor_fabr_material,motor_fan_diameter,motor_fan_style,motor_fashcoat,motor_frequency,motor_hp,motor_ins_class,motor_name,motor_qty,motor_speeds,motor_stages,motor_temp_high,motor_temp_low,motor_therm_protect,motor_type,motor_watts,movement_power,msrp,msrp_display_actual_price_type,msrp_enabled,muffler_hookup,muffler_shape,name,name_alternative,neck_movement,news_from_date,news_to_date,noise_level,operating_radius_feet,options_container,org_etl_listed,org_gl_approved,org_leed_certified,org_ul_recognized,pad_driver_incl,page_layout,part_model_number,part_store_number,pdf_manuals,pdf_spec_sheet,powerhead_removable,power_control_variable,power_cord_detachable,power_cord_length_feet,power_reset_btn,power_safety_shutoff,power_settings,power_settings_auto,price,product_applications,product_bumper_included,product_family_series,product_finish,product_height_inches,product_length_inches,product_material,product_tool_storage,product_video_youtube_link,product_warranty,product_width_inches,psi,pvc_degree,pvc_style,pvc_type,qty_in_pack,receptacle_type,recovery_capacity,replacement_part,required_options,roller_material,roller_motor,roller_motor_controls,roller_rpm,safety_guard,scraped,sealed_system,short_description,small_image,small_image_label,solution_capacity,special_from_date,special_order,special_price,special_to_date,square_ft,squeegee_width,status,switch_loc,system_type,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,utility_valve,visibility,visual_interface_type,voltage,wand_included,waterlift,weight,wet_dry,wet_dry_drain_required,wheels,wheels_swivel,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
Test-F,,Default,simple,"Central Vacuums","Default Category",base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2016-03-07 15:00:36",,,,,,test,,,No,,,,,,,,,Yes,,,,,,,,,,,,,,,,0,,,,,,,,,/2/0/20141025_152531.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use config","Use config",,,"Test Filter",,,,,,,"Product Info Column",,No,No,No,,,,,,,,,,,,,,,5.0000,,,,,,,,,,,,,,,,,,,,0,,,,,,,,test,/2/0/20141025_152531.jpg,,,,No,,,,,1,,,2,/2/0/20141025_152531.jpg,,"2016-04-15 14:43:37",test-filter,test-filter.html,,4,,,,,0.0000,,,,,5.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,test-group,0,,,,,,,,,,,,,88,/w/p/wp_000628.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/2/0/20141025_152531.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/g/a/gator-logo.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/w/p/wp_000629.jpg,,4,0
test-group,,Default,grouped,"Central Vacuums","Default Category",base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2016-03-07 15:01:42",,,,,,Test,,,,,,,,,,,,No,,,,,,,,,,,,,,,,0,,,,,,,,,no_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Test Grouped",,,,,,,"Product Info Column",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,test,no_selection,,,,,,,,,1,,,,no_selection,,"2016-03-25 14:54:10",test-grouped,test-grouped.html,,4,,,,,0.0000,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,Test-F,0.0000,0,,,,,,,,,,,,
PU:D:0000,,"Power Unit",simple,,,base,,,,540.000,0.00,,,,,,,,,,Cana-Vac,,,,,,,,,,,,,,,,4.00,0.000,,,Black,,,,,,,,,,"2016-03-23 18:02:32",,,,,0.00,test,,,No,,,,,,,,Inverted,No,Micro-Filtration,,,,,0,,,,,,,,,,0,,,,,,,,,no_selection,,,,,,,,,,,,,,,,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.8 diameter Thru-Flow motor",0,,0,,,,,,,,"Use config","Use config",,,"E425 Power Unit",,,,,,,"Product Info Column",,No,No,No,,,E425,,,,,,,0.00,,No,,,299.9500,,,,,37.50,12.50,,,,"5 years limited electrical, limited lifetime body and gaskets",12.50,,,,,0,,,,0,,,,,,,,test,no_selection,,,,No,,,3500,,1,,Bagless,2,no_selection,,"2016-04-07 18:19:22",e425-power-unit,e425-power-unit.html,Yes,4,None,0,,114.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,0.0000,1,0,1,1,1,0.0000,1,0,0,Test-F,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test-group,0,,,,,,,,,,,,,,,,,,,
PU:D:0001,,"Power Unit",simple,,,base,,,,500.000,13.40,,,,,,,,,,Aggresor,,,,,,,,,,,,,,,,4.00,120.000,,,Black,,,,,,,,,,"2016-03-24 19:17:28",,,,,61.00,test,,,Yes,,,,,,,,Inverted,No,HEPA,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cinderson Chinese Motor Part #VJ1-PY27-1",0,,0,,,,,,,,"Use config","Use config",,,"A3 Power Unit",,,,,,,"Product Info Column",,No,No,No,,,A3,,,,,,,0.00,,No,,,0.0000,,,A,,0.00,0.00,,,,"7 Year Motor, Lifetime Housing",0.00,,,,,0,,,,0,,,,,,,,test,,,,,No,,,3000,,1,,Bagged,2,,,"2016-04-07 18:19:22",,,No,4,None,120,,110.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
PU:D:0002,,"Power Unit",simple,,,base,,,,550.000,14.50,,,,,,,,,,Aggresor,,,,,,,,,,,,,,,,4.00,125.000,,,Black,,,,,,,,,,"2016-03-24 19:17:28",,,,,61.00,test,,,Yes,,,,,,,,Inverted,No,HEPA,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ametek Lamb Motor #119992-00",0,,0,,,,,,,,"Use config","Use config",,,"A6 Power Unit",,,,,,,"Product Info Column",,No,No,No,,,A6,,,,,,,0.00,,No,,,0.0000,,,A,,0.00,0.00,,,,"15 Year Motor, Lifetime Housing",0.00,,,,,0,,,,0,,,,,,,,test,,,,,No,,,6500,,1,,Bagged,2,,,"2016-04-07 18:19:22",,,No,4,None,120,,140.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
PU:D:0003,,"Power Unit",simple,,,base,,,,537.000,14.00,,,,,,,,,,AirVac,,,,,,,,,,,,,,,,5.20,118.000,,,Blue,,,,,,,,,,"2016-03-24 19:17:28",,,,,64.00,test,,,Yes,,,,,,,,Inverted,No,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ametek Lamb",0,,0,,,,,,,,"Use config","Use config",,,"AVP3000 Power Unit",,,,,,,"Product Info Column",,No,No,No,,,AVP3000,,,,,,,0.00,,No,,,0.0000,,,,,40.00,16.00,,,,"10 Year",16.00,,,,,0,,,,0,,,,,,,,test,,,,,No,,,3000,,1,,Bagged,2,,,"2016-04-07 18:19:22",,,No,4,None,120,,123.000,0.0000,No,No,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
