sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,adj_interval_length,adj_max_length,adj_min_length,air_watts,amps,anti_tip_device,attachment_type,bag_electrostatic,bag_fill_style,bag_filter_inc,bag_filter_qty,bag_filtration,bag_layers,bag_type,brand,brush_adjustable,brush_diameter,brush_material,brush_qty,brush_removable,brush_shapes,brush_side_qty,brush_side_size,brush_size,brush_total_qty,bumper_depth,bumper_fit,bumper_size,bumper_width,capacitors,capacity_gal,cfm,charge_time,clean_path_width,color,combo_floor_switch,connection_type,cordless_battery,cordless_runtime,cord_auto_rewind,cord_hook_adjust,cord_management,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,decibels,description,description_specs,diameter,dirt_capacity,discontinued,drive_train,edge_clean,electric,exhaust_cyclonic,exhaust_opening,filter_efficiency,filter_microns,filter_type,filter_washable,filtration_method,fit,flexible,gallery,gearbox,gift_message_available,gtin12_upc,handheld,handle_adjust,handle_carry,handle_ergonomic,handle_folds,handle_swivel,hanger_max_length,hanger_washable,has_options,headlight,height_settings,height_settings_auto,hose_air_relief_valve,hose_crushproof,hose_length_feet,hose_power_switch,hose_type,image,image_label,inc_p_bags,inc_p_carpet_tool,inc_p_crevice_tool,inc_p_dusting_brush,inc_p_extractor_wand,inc_p_floor_tool,inc_p_hose,inc_p_hygiene_cap,inc_p_micro_filter,inc_p_micro_strip,inc_p_misc,inc_p_motor_filter,inc_p_upholstery_tool,inc_p_wand,indicator_bag_full,indicator_brush_obstruction,indicator_dirt_sensor,indicator_filter_replace,indicator_motor_status,indicator_on_off_light,indicator_roller_replace,inlet_auto_on,inlet_connection,inlet_door_style,inlet_lights,inlet_use_trim,maintenance,main_motor_rpm,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,motor_air_discharge,motor_bearing,motor_brush,motor_cobr_material,motor_duty_cycle,motor_electric_conn,motor_fabr_material,motor_fan_diameter,motor_fan_style,motor_fashcoat,motor_frequency,motor_hp,motor_ins_class,motor_name,motor_qty,motor_speeds,motor_stages,motor_temp_high,motor_temp_low,motor_therm_protect,motor_type,motor_watts,movement_power,msrp,msrp_display_actual_price_type,msrp_enabled,muffler_hookup,muffler_shape,name,name_alternative,neck_movement,news_from_date,news_to_date,noise_level,operating_radius_feet,options_container,org_etl_listed,org_gl_approved,org_leed_certified,org_ul_recognized,pad_driver_incl,page_layout,part_model_number,part_store_number,pdf_manuals,pdf_spec_sheet,powerhead_removable,power_control_variable,power_cord_detachable,power_cord_length_feet,power_reset_btn,power_safety_shutoff,power_settings,power_settings_auto,price,product_applications,product_bumper_included,product_family_series,product_finish,product_height_inches,product_length_inches,product_material,product_tool_storage,product_video_youtube_link,product_warranty,product_width_inches,psi,pvc_degree,pvc_style,pvc_type,qty_in_pack,receptacle_type,recovery_capacity,replacement_part,required_options,roller_material,roller_motor,roller_motor_controls,roller_rpm,safety_guard,scraped,sealed_system,short_description,small_image,small_image_label,solution_capacity,special_from_date,special_order,special_price,special_to_date,square_ft,squeegee_width,status,switch_loc,system_type,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,utility_valve,visibility,visual_interface_type,voltage,wand_included,waterlift,weight,wet_dry,wet_dry_drain_required,wheels,wheels_swivel,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
AB:0000,,"Air Blowers",simple,,,base,,,,,4.80,,,,,,,,,,Sanitaire,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,"2016-04-27 13:27:59",,,,,70.00,test,,,,Yes,,,,,,,,,,,,,,,0,,,No,,,No,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,"Use config","Use config",,,"SC6051A Air Mover",,,,,,,"Product Info Column",No,No,No,Yes,,,SC6051,,http://www.thinkvacuums.com/pdf/air-mover-guide.pdf,http://www.thinkvacuums.com/pdf/Sanitaire/SC6051A.pdf,,,,20.00,,,,,214.0000,,,,,0.00,0.00,,,,,0.00,,,,,0,,,,0,,,,,No,,,test,,,,,No,,,,,1,Side,,2,,,"2016-04-27 13:27:59",sc6051a-air-mover,sc6051a-air-mover.html,,4,,0,,,0.0000,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
AB:0001,,"Air Blowers",simple,,,base,,,,,4.80,,,,,,,,,,Sanitaire,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,"2016-04-27 13:27:59",,,,,70.00,test,,,,Yes,,,,,,,,,,,,,,,0,,,No,,,No,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,"Use config","Use config",,,"SC6052 Air Mover",,,,,,,"Product Info Column",No,No,No,No,,,SC6052,,http://www.thinkvacuums.com/pdf/air-mover-guide.pdf,http://www.thinkvacuums.com/pdf/Sanitaire/SC6052A.pdf,,,,50.00,,,,,0.0000,,,,,0.00,0.00,,,,,0.00,,,,,0,,,,0,,,,,No,,,test,,,,,No,,,,,1,Side,,2,,,"2016-04-27 13:27:59",sc6052-air-mover,sc6052-air-mover.html,,4,,0,,,0.0000,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
AB:0002,,"Air Blowers",simple,,,base,,,,,5.00,,,,,,,,,,Sanitaire,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,155.0000,,"2016-04-27 13:27:59",,,,,70.00,test,,,,No,,,,,,,,,,,,,,,0,,,No,,,No,,,,0,,,,,,,,,no_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,"Use config","Use config",,,"SC6053 Air Mover",,,,,,,"Product Info Column",No,No,No,No,,,SC6053,,http://www.thinkvacuums.com/pdf/air-mover-guide.pdf,,,,,25.00,,,,,262.6500,,,,,0.00,0.00,,,,,0.00,,,,,0,,,,0,,,,,No,,,test,no_selection,,,,No,,,,,1,Front,,2,no_selection,,"2016-04-27 17:26:47",sc6053-air-mover,sc6053-air-mover.html,,4,,0,,,0.0000,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
AB:0003,,"Air Blowers",simple,,,base,,,,,5.00,,,,,,,,,,Sanitaire,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,"2016-04-27 13:27:59",,,,,70.00,test,,,,No,,,,,,,,,,,,,,,0,,,No,,,No,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,"Use config","Use config",,,"SC6054A Air Mover",,,,,,,"Product Info Column",No,No,No,No,,,SC6054,,http://www.thinkvacuums.com/pdf/air-mover-guide.pdf,,,,,25.00,,,,,288.4000,,,,,0.00,0.00,,,,,0.00,,,,,0,,,,0,,,,,No,,,test,,,,,No,,,,,1,Front,,2,,,"2016-04-27 13:27:59",sc6054a-air-mover,sc6054a-air-mover.html,,4,,0,,,0.0000,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
AB:0004,,"Air Blowers",simple,,,base,,,,,2.40,,,,,,,,,,Sanitaire,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,170.0000,,"2016-04-27 13:27:59",,,,,67.00,test,,,,No,,,,,,,,,,,,,,,0,,,No,,,No,,,,0,,,,,,,,,no_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,"Use config","Use config",,,"SC6055A Air Mover",,,,,,,"Product Info Column",No,No,No,No,,,SC6055A,,,,,,,20,,,,,214.0000,,,,,0.00,0.00,,,,,0.00,,,,,0,,,,0,,,,,No,,,test,no_selection,,,,No,,,,,1,Front,,2,no_selection,,"2016-04-27 17:39:44",sc6055a-air-mover,sc6055a-air-mover.html,,4,,0,,,0.0000,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
AK:0000,,"Attachment Kits",simple,,,base,,,,,,,,,,,,,,,Wessel-Werk,,,,,Yes,,,,,,,,,,,,,,14.00,Black,,,,,,,,,Germany,"2016-04-27 13:29:45",,,,,,test,,,,No,,,,,,,,,,,,No,,,0,,,,,,,,,,0,,,,,,,,,,,"Attachment Mesh Storage Bag","EBK 360 Electric Powerhead W/QDC","12&quot; Magnum Crevice Tool FD300","Elongated Dusting Brush",,"13&quot; Hard Wood  Floor Brush","30 Ft. Crushproof Electrical Hose",,,,"Snap On Tool Caddy,Attachment Storage Bag,Deluxe Hose Hanger",,"Upholstery Tool","2 Plastic Long Extension Wands,Dual QDC Telescopic Wand W/Cord Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use config","Use config",,,"The Villa Collection II W/ 30Ft Pigtail",,"Swivel Neck",,,,,"Product Info Column",,No,No,No,,,,,,,,,,,,,,,370.0000,,,,,0.00,0.00,"ABS Plastic",,,,0.00,,,,,1,,,,0,,,,,,,,test,,,,,No,,,,,1,,,2,,,"2016-04-27 13:29:45",the-villa-collection-ii-w-30ft-pigtail,the-villa-collection-ii-w-30ft-pigtail.html,,4,,,,,0.0000,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
AK:0001,,"Attachment Kits",simple,,,base,,,,,,,,,,,,,,,Wessel-Werk,,,,,Yes,,,,,,,,,,,,,,14.00,Black,,,,,,,,,Germany,"2016-04-27 13:29:46",,,,,,test,,,,No,,,,,,,,,,,,No,,,0,,,,,,,,,,0,,,,,,,,,,,"Attachment Mesh Storage Bag","EBK 360 Electric Powerhead W/QDC","12&quot; Magnum Crevice Tool FD300","Elongated Dusting Brush",,"13&quot; Hard Wood  Floor Brush","36 Ft. Crushproof Electrical Hose",,,,"Deluxe Hose Hanger,Platinum Washable Hose Sock,Wall Mounted Wand Holder,Clip On Tool Caddy",,"Upholstery Tool","2 Plastic Long Extension Wands,Dual QDC Telescopic Wand W/Cord Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use config","Use config",,,"The Villa Collection II W/36ft Pigtail",,"Swivel Neck",,,,,"Product Info Column",,No,No,No,,,,,,,,,,,,,,,385.0000,,,,,0.00,0.00,"ABS Plastic",,,,0.00,,,,,1,,,,0,,,,,,,,test,,,,,No,,,,,1,,,2,,,"2016-04-27 13:29:46",the-villa-collection-ii-w-36ft-pigtail,the-villa-collection-ii-w-36ft-pigtail.html,,4,,,,,0.0000,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
AK:0002,,"Attachment Kits",simple,,,base,,,,,,,,,,,,,,,Wessel-Werk,,,,,Yes,,,,,,,,,,,,,,14.00,Black,,,,,,,,,Germany,"2016-04-27 13:29:46",,,,,,test,,,,No,,,,,,,,,,,,No,,,0,,,,,,,,,,0,,,,,,,,,,,"Attachment Mesh Storage Bag","EBK 360 Electric Powerhead W/QDC","12&quot; Magnum Crevice Tool FD300","Elongated Dusting Brush",,"13&quot; Hard Wood  Floor Brush","30 Ft. Crushproof Electrical Hose",,,,"Snap On Tool Caddy,Attachment Storage Bag,Deluxe Hose Hanger",,"Upholstery Tool","2 Plastic Long Extension Wands,Dual QDC Telescopic Wand W/Cord Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use config","Use config",,,"The Villa W/30Ft. Electric Hose Direct Connect",,"Swivel Neck",,,,,"Product Info Column",,No,No,No,,,,,,,,,,,,,,,370.0000,,,,,0.00,0.00,"ABS Plastic",,,,0.00,,,,,1,,,,0,,,,,,,,test,,,,,No,,,,,1,,,2,,,"2016-04-27 13:29:46",the-villa-w-30ft-electric-hose-direct-connect,the-villa-w-30ft-electric-hose-direct-connect.html,,4,,,,,0.0000,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
AK:0003,,"Attachment Kits",simple,,,base,,,,,,,,,,,,,,,Wessel-Werk,,,,,Yes,,,,,,,,,,,,,,14.00,Black,,,,,,,,,Germany,"2016-04-27 13:29:46",,,,,,test,,,,No,,,,,,,,,,,,No,,,0,,,,,,,,,,0,,,,,,,,,,,"Attachment Mesh Storage Bag","EBK 360 Electric Powerhead W/QDC","12&quot; Magnum Crevice Tool FD300","Elongated Dusting Brush",,"13&quot; Hard Wood  Floor Brush","36 Ft. Crushproof Electrical Hose",,,,"Platinum Washable Hose Sock,Deluxe Hose Hanger,Wall Mounted Wand Holder,Snap On Tool Caddy",,"Upholstery Tool","2 Plastic Long Extension Wands,Dual QDC Telescopic Wand W/Cord Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use config","Use config",,,"The Villa W/36Ft. Electric Hose Direct Connect",,"Swivel Neck",,,,,"Product Info Column",,No,No,No,,,,,,,,,,,,,,,385.0000,,,,,0.00,0.00,"ABS Plastic",,,,0.00,,,,,1,,,,0,,,,,,,,test,,,,,No,,,,,1,,,2,,,"2016-04-27 13:29:46",the-villa-w-36ft-electric-hose-direct-connect,the-villa-w-36ft-electric-hose-direct-connect.html,,4,,,,,0.0000,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
AK:0004,,"Attachment Kits",simple,,,base,,,,,,,,,,,,,,,Wessel-Werk,,,,,Yes,,,,,,,,,,,,,,14.00,Black,,,,,,,,,Germany,"2016-04-27 13:29:46",,,,,,test,,,,No,,,,,,,,,,,,No,,,0,,,,,,,,,,0,,,,,,,,,,,"Mesh Attachment Storage Bag","Wessel-Werk EBK 340 Deluxe 14&quot; Powerhead","Crevice Tool","Elongated Dusting Brush",,"13&quot; Hard Floor Brush","Plastiflex 4-Wire 3-Function Crushproof 30Ft. Hose W/Switch",,,,"Deluxe Hose Hanger,Platinum Washable Hose Sock,Clip-on Tool Caddy,Wand Clamp For Mounting",,"Upholstery Tool","2 Plastic Long Extension Wands,Stainless Steel Dual Quick DisConnect Telescopic Wand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use config","Use config",,,"The Chateau III W/30Ft. Electrical Hose Pigtail",,"Swivel Neck",,,,,"Product Info Column",,No,No,No,,,,,,,,,,,,,,,445.9500,,,,,0.00,0.00,"ABS Plastic",,,,0.00,,,,,14,,,,0,,,,,,,,test,,,,,No,,,,,1,,,2,,,"2016-04-27 13:29:46",the-chateau-iii-w-30ft-electrical-hose-pigtail,the-chateau-iii-w-30ft-electrical-hose-pigtail.html,,4,,,,,0.0000,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
