"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","page_layout","options_container","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","sealed_system","capacity_gal","diameter","req_maintain","price","special_price","weight","msrp","status","is_recurring","visibility","tax_class_id","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","custom_design","image_label","small_image_label","thumbnail_label","filter_washable","website","_media_image","_media_lable","_media_position","_media_is_disabled","voltage","amps","decibels","square_ft","waterlift","air_watts","cfm","main_motor_rpm","motor_name","motor_stages","motor_watts","filtration_method","power_cord_length_feet","muffler_hookup","motor_qty","cv_system_type","cv_filter_type","visual_interface_type","wet_dry","wet_dry_drain_required","indicator_motor_status","indicator_bag_full","indicator_filter_replace","utility_valve","power_safety_shutoff"
"default","base","Filters","simple","","CVF00019","0","FILT-15 Spare Exhaust Filter W/Charcoal","","","","","","filt-15-spare-exhaust-filter-w-charcoal","filt-15-spare-exhaust-filter-w-charcoal.html","No layout updates","Product Info Column"," ","Use config","Use config","No","","0.00","0.0000","","29.9500","","0.0000","","Enabled","No","Catalog, Search","Shipping","FILT-15 Spare Exhaust Filter W/Charcoal","FILT-15 Spare Exhaust Filter W/Charcoal","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","FILT-15 Spare Exhaust Filter W/Charcoal","1","simple","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"default","base","Default","simple","4","Test-F","0","Test Filter","","","/2/0/20141025_152531.jpg","/2/0/20141025_152531.jpg","/2/0/20141025_152531.jpg","test-filter","test-filter.html","No layout updates","Product Info Column"," ","Use config","Use config","No","","","","","5.0000","","0.0000","","Enabled","No","Catalog, Search","Taxable Goods","test","test","","","","","","","","","5.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Test Filter","1","simple","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"default","","","","","Test-F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/w/p/wp_000628.jpg","","1","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"default","","","","","Test-F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/g/a/gator-logo.jpg","","3","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"default","","","","","Test-F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/w/p/wp_000629.jpg","","4","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"default","base","Default","grouped","4","test-group","0","Test Grouped","","","","","","test-grouped","test-grouped.html","No layout updates","Product Info Column"," ","","","No","","","","","","","0.0000","","Enabled","","Catalog, Search","","Test","test","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Test Grouped","1","grouped","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"default","base","Power Unit","simple","","CV00050","0","ES-625 Power Unit","","","","","","es-625-power-unit","es-625-power-unit.html","No layout updates","Product Info Column"," ","Use config","Use config","No","","4","","","599.9500","","0.0000","","Enabled","No","Catalog, Search","Shipping","ES-625 Power Unit","ES-625 Power Unit","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","ES-625 Power Unit","1","simple","","","","","","","No","","","","","","0","0","0","6000","137","600","0","0","","0","0","","","","","","","","No","No","No","No","No","No","No"
"default","base","Power Unit","simple","","TEST0000","0","AVR12000 Power Unit","","","","","","avr12000-power-unit","avr12000-power-unit.html","No layout updates","Product Info Column","","Use config","Use config","No","","6.00","","","0.0000","","0.0000","","Enabled","No","Catalog, Search","Shipping","test","test","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","0","0","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","AVR12000 Power Unit","1","simple","","","","","","","No","","","","","","120","0.00","0.00","12000","127.000","570.000","122.000","0","Ametek Lamb","0","0","","0.00","Yes","0","Bagless","Inverted","","No","No","Yes","Yes","No","No",""
"default","base","Power Unit","simple","","TEST690","0","E425 Power Unit","","","","","","e425-power-unit","e425-power-unit.html","No layout updates","Product Info Column","","Use config","Use config","No","","4.00","","","299.9500","","0.0000","","Enabled","No","Catalog, Search","Shipping","test","test","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","0","0","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","E425 Power Unit","1","simple","","","","","","","No","","","","","","0","0.00","0.00","3500","114.000","540.000","0.000","0","4.8 diameter Thru-Flow motor","0","0","Micro-Filtration","0.00","Yes","0","Bagless","Inverted","None","No","No","No","No","No","Yes",""
"default","base","Power Unit","simple","","TEST9200","0","A3 Power Unit","","","","","","a3-power-unit","a3-power-unit.html","No layout updates","Product Info Column"," ","Use config","Use config","No","","4.00","","","0.0000","","0.0000","","Enabled","No","Catalog, Search","Shipping","test","test","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","0","0","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","A3 Power Unit","1","simple","","","","","","","No","","","","","","120","13.40","61.00","3000","110","500","120","0","Cinderson Chinese Motor Part #VJ1-PY27-1","0","0","HEPA","0","Yes","0","Bagged","Inverted","None","No","No","No","No","No","No","No"
